rank,symbol,asset_type,timeframe,macd_params,long_hold_bars,short_hold_bars,long_total_events,long_rise_n,long_fall_n,long_win_rate,long_post_mean_rise,long_post_mean_fall,long_post_mean_total,long_plus1sd,long_minus1sd,long_post_max,long_post_min,long_pre_mean,long_pre_plus1sd,long_pre_minus1sd,short_total_events,short_rise_n,short_fall_n,short_win_rate,short_post_mean_rise,short_post_mean_fall,short_post_mean_total,short_plus1sd,short_minus1sd,short_post_max,short_post_min,short_pre_mean,short_pre_plus1sd,short_pre_minus1sd,base_long_rise_rate,base_short_fall_rate,base_long_mean,base_short_mean,long_edge,short_edge,long_mag_edge,short_mag_edge,active_signal,current_macd,current_signal,current_diff,long_expectancy,short_expectancy,combined_expectancy
1,BE,Portfolio,1M,12/26/9,6,3,37,24,13,0.6486486486486487,1.5832054412017043,-0.3201282781021373,0.9144665668517059,2.4504863797316476,-0.6215532460282359,6.213973799126638,-0.6208920187793426,0.9084092266532865,2.235585916035506,-0.41876746272893317,51,25,26,0.5098039215686274,0.4512341769251374,-0.2505438544528755,0.09346498445791514,0.5985339487948574,-0.41160397987902714,1.5751633986928104,-0.7351263243683781,-0.11118238268452002,0.30412197468379526,-0.5264867400528352,0.5617977528089888,0.4673913043478261,0.4393949424312104,0.21461851836883208,0.08685089583965988,0.04241261722080131,0.4750716244204955,0.12115353391091695,LONG,53.7248,30.6899,23.0349,0.914467,0.093465,0.503966
2,IREN,Portfolio,1M,12/26/9,6,3,30,23,7,0.7666666666666667,1.1738854133982497,-0.29278401946830224,0.8316625457293875,2.3514651122752688,-0.6881400208164937,6.706075533661742,-0.4114114114114114,1.0043105302515254,2.7104532860353245,-0.701832225532274,18,8,10,0.5555555555555556,0.815300099308431,-0.446565774872065,0.1142635025414887,0.8588452958435941,-0.6303182907606166,1.6366612111292962,-0.7862156987874921,-0.38084580044601274,0.23953126151060639,-1.0012228624026318,0.6122448979591837,0.46153846153846156,0.7019127175607254,0.2732901881612798,0.15442176870748303,0.09401709401709402,0.1297498281686621,0.1590266856197911,LONG,11.2628,8.7122,2.5506,0.831663,0.114264,0.472963
3,LITE,Portfolio,1M,12/26/9,6,3,67,51,16,0.7611940298507462,0.7571116978659949,-0.11896901824340708,0.5478983925264361,1.5493898736422738,-0.4535930885894014,4.277539341917024,-0.29743852459016396,0.3160977890069258,0.7679933214373446,-0.13579774342349293,57,32,25,0.43859649122807015,0.17168668572150914,-0.14518058840845152,0.03270981110310534,0.2325001741830798,-0.16708055197686913,0.48058252427184456,-0.34506627393225336,-0.05594352737708407,0.12316718551455427,-0.23505424026872243,0.648,0.375,0.3120755102377662,0.1329791030370162,0.11319402985074623,0.06359649122807015,0.23582288228866993,0.10026929193391088,LONG,182.3464,101.869,80.4774,0.547898,0.03271,0.290304
4,NVDA,Stock,1M,12/26/9,6,3,90,71,19,0.7888888888888889,0.5175209825237654,-0.25599970683723994,0.354222170325331,0.8053182622732556,-0.09687392162259367,1.4947495961227788,-0.5551484060095273,0.4724294488370401,0.8090476928509542,0.13581120482312586,28,19,9,0.32142857142857145,0.3491120476009442,-0.14649324976545985,0.1898103448760286,0.48312331522422497,-0.10350262547216776,0.9014373716632446,-0.31878557874762803,-0.09723568375195853,0.22982034738705948,-0.4242917148909765,0.7899159663865546,0.2540983606557377,0.39361974119013327,0.17640911660909434,-0.0010270774976657293,0.06733021077283374,-0.03939757086480228,-0.013401228266934267,LONG,29.5147,29.1268,0.3878,0.354222,0.18981,0.272016
5,AAOI,Portfolio,1M,12/26/9,6,3,91,38,53,0.4175824175824176,1.452710593775653,-0.3340987624311375,0.41204140829257724,1.7108462132711728,-0.8867633966860184,4.968468468468468,-0.6984435797665369,0.5318419431701795,1.5785527272038338,-0.5148688408634747,55,31,24,0.43636363636363634,0.4492595035600356,-0.28997628152100313,0.12668388825194588,0.6574519003767973,-0.4040841238729056,2.631718061674009,-0.5753424657534246,-0.2196036898363347,0.15499619286549612,-0.5942035725381655,0.48299319727891155,0.5,0.36867287308514785,0.19025487526594564,-0.06541077969649395,-0.06363636363636366,0.04336853520742939,0.06357098701399977,LONG,27.6262,13.4735,14.1527,0.412041,0.126684,0.269363
6,PLTR,Stock,1M,12/26/9,6,3,44,30,14,0.6818181818181818,0.788481475704098,-0.2752924680920536,0.45000794813259515,1.1782864063222718,-0.2782705100570816,2.0940959409594098,-0.598145285935085,0.6290389506275682,1.1971668711363537,0.06091103011878274,18,5,13,0.7222222222222222,0.7224018807832817,-0.17291310394541476,0.07578550292366759,0.5876560324853979,-0.4360850266380627,1.56,-0.42615012106537525,-0.2526657151946232,-0.049809640245504244,-0.45552179014374217,0.6190476190476191,0.4393939393939394,0.3950385652608544,0.19528937548197112,0.0627705627705627,0.2828282828282828,0.054969382871740746,0.11950387255830353,SHORT,28.9582,32.4107,-3.4526,0.450008,0.075786,0.262897
7,MRNA,Portfolio,1M,12/26/9,6,3,37,22,15,0.5945945945945946,1.1453099319188258,-0.4685317837014122,0.491049776937648,1.4414427033586907,-0.45934314948339466,2.6128717698683563,-0.6979305506839706,0.7431328129430371,1.4270043550145555,0.05926127087151878,46,19,27,0.5869565217391305,0.22197919803354357,-0.1735155760107128,-0.010159038905476455,0.21976772256508434,-0.24008580037603724,0.545424978317433,-0.3778243303905432,-0.21698054743195813,0.07135340387286374,-0.50531449873678,0.5,0.4942528735632184,0.2693856243540797,0.11896868246169182,0.09459459459459463,0.09270364817591209,0.2216641525835683,0.12912772136716827,LONG,-12.5302,-18.4998,5.9696,0.49105,0.010159,0.250604
8,SE,Portfolio,1M,12/26/9,6,3,64,49,15,0.765625,0.7068562020666694,-0.3940998320299151,0.4488196315752824,1.1227157172461482,-0.2250764540955834,2.4764161588806135,-0.7591175015280729,0.5049428420145743,0.9794076968870433,0.030477987142105256,35,10,25,0.7142857142857143,0.39812564599915157,-0.21132685949347882,-0.03719757220987011,0.3010230082090588,-0.3754181526287991,1.07773851590106,-0.46452997183854094,-0.2557269553281444,0.0636969430585459,-0.5751508537148347,0.673469387755102,0.4158415841584158,0.30243097041392114,0.11360454080635367,0.09215561224489799,0.2984441301272985,0.14638866116136123,0.1508021130162238,SHORT,0.793,9.8804,-9.0874,0.44882,0.037198,0.243009
9,AMD,Stock,1M,12/26/9,6,3,82,56,26,0.6829268292682927,0.4792947604017815,-0.18647051101565745,0.2681984548303984,0.6979698374309187,-0.16157292777012194,1.4245614035087721,-0.46858929812369704,0.43375944610210865,0.9043476822229143,-0.03682879001869699,36,25,11,0.3055555555555556,0.3832781438339653,-0.19054680250456668,0.2079427435638583,0.585715781903459,-0.16983029477574238,1.1355140186915889,-0.36424261670371544,-0.07146827290692553,0.19885392376785,-0.34179046958170106,0.7058823529411765,0.36885245901639346,0.34038723241793256,0.1731937066242887,-0.022955523672883782,-0.06329690346083788,-0.07218877758753417,-0.0347490369395696,LONG,56.9858,28.8916,28.0942,0.268198,0.207943,0.238071
10,TSLA,Stock,1M,12/26/9,6,3,67,42,25,0.6268656716417911,0.6626584162898735,-0.15753473364551784,0.3566161961647275,1.1006522619471095,-0.3874198696176544,3.093902089894074,-0.3627718162720718,0.5089888212673978,1.1742071590377419,-0.15622951650294636,51,30,21,0.4117647058823529,0.2828064260508458,-0.18063702190878117,0.0919767710086465,0.4011199741186031,-0.21716643210131015,1.0662220104811815,-0.5356079170593779,-0.05994066367845836,0.18849538090967086,-0.3083767082665876,0.6134453781512605,0.4180327868852459,0.30988655494878253,0.13455140097707358,0.013420293490530533,-0.006268081002893,0.04672964121594497,0.04257462996842708,LONG,42.7987,42.4278,0.371,0.356616,0.091977,0.224296
