rank,symbol,timeframe,macd_params,long_hold_bars,short_hold_bars,long_total_events,long_rise_n,long_fall_n,long_win_rate,long_post_mean_rise,long_post_mean_fall,long_post_mean_total,long_plus1sd,long_minus1sd,long_post_max,long_post_min,long_pre_mean,long_pre_plus1sd,long_pre_minus1sd,short_total_events,short_rise_n,short_fall_n,short_win_rate,short_post_mean_rise,short_post_mean_fall,short_post_mean_total,short_plus1sd,short_minus1sd,short_post_max,short_post_min,short_pre_mean,short_pre_plus1sd,short_pre_minus1sd,base_long_rise_rate,base_short_fall_rate,base_long_mean,base_short_mean,long_edge,short_edge,long_mag_edge,short_mag_edge,active_signal,current_macd,current_signal,current_diff,long_expectancy,short_expectancy,combined_expectancy
11,TAN,1W,12/26/9,12,3,240,131,109,0.5458333333333333,0.21839704166330953,-0.11567005928319807,0.06667489998343733,0.292951505201705,-0.15960170523483036,0.7610876835829578,-0.38056379821958447,0.07579053013700837,0.18838735051601507,-0.036806290241998316,206,109,97,0.470873786407767,0.06498353025478071,-0.05423461742559904,0.008846829647999958,0.08856656918345418,-0.07087290988745426,0.26193811282312485,-0.20233120738948748,-0.05121481393273805,0.04824971633196348,-0.15067934419743959,0.49430523917995445,0.48214285714285715,0.04155664648997569,0.010414264736909413,0.051528094153378834,-0.011269070735090148,0.02511825349346164,-0.0015674350889094552,LONG,3.5664,3.1595,0.4069,0.066675,0.008847,0.037761
12,NOW,1W,12/26/9,12,3,294,211,83,0.717687074829932,0.12829596446353997,-0.09986232024525521,0.0638839317056148,0.18892635339925107,-0.06115848998802148,0.3206456275596243,-0.2857847976307996,0.07577396801132885,0.16262983530797054,-0.011081899285312835,243,134,109,0.448559670781893,0.0827183676020772,-0.08005637090057685,0.009704184487717963,0.11184494589028418,-0.09243657691484825,0.30984549296750497,-0.3463796477495108,-0.03881809095431388,0.0650027523194166,-0.14263893422804436,0.6616257088846881,0.4163568773234201,0.06147907180042306,0.013815671022192472,0.05606136594524391,0.032202793458472934,0.0024048599051917363,-0.004111486534474509,LONG,-18.0431,-18.5936,0.5505,0.063884,0.009704,0.036794
13,AMZN,1W,12/26/9,12,3,287,186,101,0.6480836236933798,0.1341172750748678,-0.10273640878303927,0.050764584936719315,0.19728479601627777,-0.09575562614283914,0.41492069708243595,-0.36621386276558693,0.069550424856227,0.13936661361161246,-0.0002657638991584582,248,153,95,0.38306451612903225,0.06369838144132633,-0.05305858832667764,0.018972929312453857,0.09636270130718887,-0.05841684268228116,0.26413510961921755,-0.2168340838240388,-0.031536851598508595,0.04853753753274026,-0.11161124072975745,0.667296786389414,0.379182156133829,0.05886918015985009,0.01491989277310022,-0.019213162696034236,0.003882359995203255,-0.008104595223130777,0.004053036539353638,LONG,10.1485,3.807,6.3415,0.050765,0.018973,0.034869
14,AAPL,1W,12/26/9,12,3,284,183,101,0.6443661971830986,0.12431594740462402,-0.0832206435253811,0.050508920348530655,0.18651379099590223,-0.08549595029884091,0.5645993206692668,-0.3324329191428057,0.07095143437357221,0.13522227836653583,0.0066805903806086,253,163,90,0.3557312252964427,0.05938274486739127,-0.05531946399238672,0.018579587565493952,0.08658251727359514,-0.04942334214260724,0.17216238608119294,-0.1696549064970117,-0.023641999335508642,0.056972919057020774,-0.10425691772803806,0.6880907372400756,0.3680297397769517,0.06389866471822385,0.01597904515443727,-0.04372454005697701,-0.012298514480509004,-0.013389744369693195,0.0026005424110566826,LONG,8.3966,4.9719,3.4246,0.050509,0.01858,0.034544
15,GE,1W,12/26/9,12,3,271,172,99,0.6346863468634686,0.1884467502074237,-0.14600875151531104,0.06626558906148,0.2895838209973698,-0.15705264287440981,0.8285709462881065,-0.5518371121747728,0.07218782731852767,0.18339694993103678,-0.03902129529398142,264,122,142,0.5378787878787878,0.07145353026291798,-0.05620940419430701,0.0027863458200166544,0.09193015719108116,-0.08635746555104787,0.4353387557672818,-0.4007359117939743,-0.04511342116336402,0.052710173892220186,-0.14293701621894822,0.5444234404536862,0.4739776951672863,0.03669852101373136,0.008207753374023019,0.0902629064097824,0.06390109271150157,0.02956706804774864,-0.005421407554006365,SHORT,-1.2182,3.2156,-4.4338,0.066266,0.002786,0.034526
16,SLV,1W,12/26/9,12,3,275,146,129,0.5309090909090909,0.1810027642419056,-0.07969317307909843,0.05871267000768916,0.25233735315948874,-0.13491201314411044,1.1111111111111112,-0.2474619289340102,0.06544620302789289,0.16539963723393275,-0.034507231178146955,260,149,111,0.4269230769230769,0.04814771967814355,-0.043255287812306496,0.009125666480297561,0.06871165324663212,-0.05046032028603699,0.23407917383821006,-0.25177076625885386,-0.028410534836214592,0.03471119633807842,-0.0915322660105076,0.5803402646502835,0.4479553903345725,0.0477186793219012,0.011994524874080825,-0.04943117374119266,-0.021032313411495585,0.010993990685787963,-0.002868858393783263,SHORT,3.997,5.512,-1.515,0.058713,0.009126,0.033919
17,MSFT,1W,12/26/9,12,3,284,215,69,0.7570422535211268,0.0872669346668043,-0.0673477461432013,0.04970210024465506,0.13845946593811398,-0.039055265448803875,0.34920954181584124,-0.24158130930766344,0.05627588304775304,0.1066619383848332,0.005889827710672882,252,161,91,0.3611111111111111,0.04967429066542848,-0.03914387767099712,0.017601063210608118,0.07516753745952084,-0.039965411038304616,0.2023298143429195,-0.13870586972851165,-0.019045916180537692,0.039667223735693556,-0.07775905609676895,0.7277882797731569,0.3680297397769517,0.05208986037935144,0.013047422698456561,0.029253973747969897,-0.006918628665840587,-0.0023877601346963817,0.004553640512151557,LONG,-15.705,-20.8206,5.1157,0.049702,0.017601,0.033652
18,ISRG,1W,12/26/9,12,3,312,206,106,0.6602564102564102,0.11996910666778708,-0.09545729339058509,0.04677936818641705,0.17130733938283688,-0.07774860301000279,0.40130174989329936,-0.3406593406593406,0.06864637680956326,0.1431947613735028,-0.0059020077543762706,225,138,87,0.38666666666666666,0.07227321341990214,-0.06217233200217919,0.020287602523364034,0.10824883561612321,-0.06767363056939514,0.30847809461378783,-0.2617562784426091,-0.03794178734247974,0.047368549416498575,-0.12325212410145805,0.667296786389414,0.39219330855018586,0.05657315091915633,0.013784479058500443,-0.0070403761330037895,-0.005526641883519201,-0.00979378273273928,0.006503123464863592,SHORT,-19.8986,-14.1256,-5.773,0.046779,0.020288,0.033533
19,LLY,1W,12/26/9,12,3,278,165,113,0.5935251798561151,0.1137568840003431,-0.06809168862365284,0.03984001814958215,0.1596391522278982,-0.07995911592873392,0.47878654042564955,-0.22475913233329345,0.07063879434258213,0.15042824174001035,-0.00915065305484608,259,170,89,0.3436293436293436,0.06221067043949254,-0.04084069382188518,0.026799197778246922,0.0932152109517521,-0.039616815395258256,0.22340242471646451,-0.1684089750127485,-0.020563615998507975,0.04903165852513959,-0.09015889052215555,0.6597353497164461,0.4144981412639405,0.06728665779246867,0.016240510666750346,-0.06621016986033101,-0.07086879763459691,-0.027446639642886524,0.010558687111496576,SHORT,3.603,11.5769,-7.9739,0.03984,0.026799,0.03332
20,GS,1W,12/26/9,12,3,299,201,98,0.6722408026755853,0.12164008587716617,-0.10124882702663841,0.04858619469130379,0.19296060230346757,-0.09578821292085998,0.49420226948595514,-0.3999393046041793,0.06309585540368644,0.1396343431753904,-0.013442632368017515,238,141,97,0.40756302521008403,0.06938355385836176,-0.057286641464442706,0.017757465848647326,0.10194264720172988,-0.06642771550443524,0.3312621920381475,-0.31060417393036815,-0.033697047874541176,0.05150446715315266,-0.11889856290223502,0.6540642722117203,0.4312267657992565,0.04920884354562364,0.012600333506943064,0.018176530463865026,-0.023663740589172477,-0.0006226488543198475,0.005157132341704262,LONG,30.5939,27.9214,2.6725,0.048586,0.017757,0.033172
