rank,symbol,asset_type,timeframe,macd_params,long_hold_bars,short_hold_bars,long_total_events,long_rise_n,long_fall_n,long_win_rate,long_post_mean_rise,long_post_mean_fall,long_post_mean_total,long_plus1sd,long_minus1sd,long_post_max,long_post_min,long_pre_mean,long_pre_plus1sd,long_pre_minus1sd,short_total_events,short_rise_n,short_fall_n,short_win_rate,short_post_mean_rise,short_post_mean_fall,short_post_mean_total,short_plus1sd,short_minus1sd,short_post_max,short_post_min,short_pre_mean,short_pre_plus1sd,short_pre_minus1sd,base_long_rise_rate,base_short_fall_rate,base_long_mean,base_short_mean,long_edge,short_edge,long_mag_edge,short_mag_edge,active_signal,current_macd,current_signal,current_diff,long_expectancy,short_expectancy,combined_expectancy
12,CAT,Stock,1M,12/26/9,6,3,73,56,17,0.7671232876712328,0.23065301102612695,-0.11081893118797737,0.1511321477707876,0.3598813799568906,-0.057617084415315406,0.7726947308132875,-0.19798407167745152,0.1901988756564387,0.36732981087051286,0.013067940442364562,45,28,17,0.37777777777777777,0.15524062233155855,-0.09830385030763314,0.059457154890086135,0.21979351038088785,-0.10087920060071559,0.4600195026816186,-0.21424702058504874,-0.02735973999053156,0.0928868221213385,-0.1476063021024016,0.7058823529411765,0.3442622950819672,0.1451527901958049,0.07315364583974841,0.06124093473005632,0.03351548269581056,0.005979357574982691,0.013696490949662278,LONG,131.7085,89.0072,42.7013,0.151132,0.059457,0.105295
13,SOXX,ETF,1M,12/26/9,6,3,85,66,19,0.7764705882352941,0.21072788873360523,-0.11873164932747618,0.13708399199054,0.3268211250101402,-0.05265314102906021,0.7136887510952348,-0.3553133816451845,0.16756186727205838,0.30208527013875064,0.03303846440536615,33,23,10,0.30303030303030304,0.1566455114268297,-0.11825665230522972,0.07334182544741773,0.2301178409240593,-0.08343419002922385,0.3056462140992167,-0.26128296146044616,-0.013111375491693207,0.16136994669297397,-0.18759269767636036,0.7983193277310925,0.2540983606557377,0.15346114872897185,0.07638637721617511,-0.021848739495798353,0.04893194237456533,-0.016377156738431847,0.0030445517687573836,LONG,60.5114,38.0303,22.4811,0.137084,0.073342,0.105213
14,GOOGL,Stock,1M,12/26/9,6,3,80,63,17,0.7875,0.17686301890548747,-0.11548788150630372,0.11473845256798185,0.2833080974994088,-0.05383119236344511,0.47455401116340135,-0.3122168692025598,0.15927054873567795,0.3190995374499791,-0.0005584399786232319,38,29,9,0.23684210526315788,0.13690747386757332,-0.08738289662724841,0.0837860703293261,0.22382473783911105,-0.056252597180458844,0.46529442417926,-0.18749999999999992,-0.03901950018522231,0.0978342929929971,-0.1758732933634417,0.7983193277310925,0.30327868852459017,0.1358730950464358,0.06470909656052222,-0.01081932773109251,-0.06643658326143229,-0.021134642478453952,-0.01907697376880388,LONG,55.4543,40.6404,14.8139,0.114738,0.083786,0.099262
15,AMZN,Stock,1M,12/26/9,6,3,75,62,13,0.8266666666666667,0.1784861346454192,-0.06144668899136312,0.13689777854837692,0.2934422385383286,-0.019646681441574748,0.5423210279420764,-0.18531399046104935,0.192743661812418,0.35902468558922945,0.026462638035606556,44,31,13,0.29545454545454547,0.139360527393829,-0.14744156966550911,0.05462354417175183,0.22741542122022682,-0.11816833287672315,0.4149143501897631,-0.34840490797546014,-0.03870005693924236,0.11576624849886544,-0.19316636237735016,0.7394957983193278,0.3114754098360656,0.12653833016045618,0.06380153841494764,0.08717086834733889,-0.016020864381520117,0.010359448387920744,0.009177994243195806,LONG,19.6811,18.7059,0.9752,0.136898,0.054624,0.095761
16,NOW,Stock,1M,12/26/9,6,3,91,73,18,0.8021978021978022,0.24792972137310137,-0.11484560132696187,0.1761719652346273,0.377355140667074,-0.025011210197819378,0.6922540125610607,-0.314797563597277,0.19665619913171803,0.34773672741669626,0.04557567084673983,30,14,16,0.5333333333333333,0.17288319584821155,-0.16592838066145127,-0.00781631162360864,0.19797133094502686,-0.21360395419224412,0.3680485338725986,-0.36359186337430655,-0.0935188676646385,0.0810622235190183,-0.2680999588482953,0.7478991596638656,0.319672131147541,0.142040764283774,0.06492235270162497,0.05429864253393668,0.21366120218579232,0.03413120095085331,0.07273866432523361,SHORT,-12.6973,0.727,-13.4243,0.176172,0.007816,0.091994
17,MSFT,Stock,1M,12/26/9,6,3,92,72,20,0.782608695652174,0.1764545971127708,-0.1213329237598487,0.11171817953176659,0.2630915200842852,-0.03965516102075205,0.3920745632985619,-0.2853171155516942,0.14903001319408818,0.25171116771706525,0.04634885867111113,28,18,10,0.35714285714285715,0.14425327772172292,-0.06966380751281871,0.06785431870938663,0.20393621704441023,-0.06822757962563697,0.3497444719931185,-0.17314953337607755,-0.05252808439168988,0.07200244965922982,-0.17705861844260956,0.7899159663865546,0.28688524590163933,0.1213387838635556,0.056140512715739624,-0.007307270734380644,0.07025761124121782,-0.009620604331789004,-0.011713805993647006,SHORT,10.4043,24.3248,-13.9206,0.111718,0.067854,0.089786
18,SLV,ETF,1M,12/26/9,6,3,68,42,26,0.6176470588235294,0.289771387028076,-0.08256625965836337,0.1474069927067904,0.45475900144803905,-0.1599450160344583,1.3484387952473058,-0.18687258687258687,0.13203875231389572,0.3275713486045153,-0.06349384397672386,50,25,25,0.5,0.1272933131717587,-0.06522206613424335,0.031035623518757677,0.17565302826167878,-0.11358178122416342,0.6201716738197424,-0.18531468531468526,-0.034861301448114716,0.06873557569585259,-0.13845817859208204,0.5882352941176471,0.45081967213114754,0.10535125755492468,0.05153350677929833,0.02941176470588236,0.04918032786885246,0.04205573515186571,0.02049788326054065,LONG,12.299,9.2933,3.0057,0.147407,0.031036,0.089221
19,XLK,ETF,1M,12/26/9,6,3,92,76,16,0.8260869565217391,0.13858094303183913,-0.08226575557599418,0.10017282153482465,0.21117303898835077,-0.01082739591870148,0.4518536949489924,-0.2689210950080515,0.12594182239858287,0.217187089773561,0.03469655502360475,26,22,4,0.15384615384615385,0.11053432873377046,-0.10403224409119721,0.07752408676069852,0.1881278433658399,-0.033079669844442855,0.2512620249547577,-0.20020133383666788,-0.027907221184882283,0.0939014899569826,-0.14971593232674715,0.8235294117647058,0.22131147540983606,0.10989411686827087,0.054390609472333436,0.002557544757033292,-0.0674653215636822,-0.00972129533344622,-0.023133477288365088,LONG,15.3949,12.9856,2.4093,0.100173,0.077524,0.088848
20,ISRG,Stock,1M,12/26/9,6,3,84,63,21,0.75,0.20535063657289956,-0.12328557712530086,0.12319158314834941,0.3157701677664828,-0.06938700146978397,0.47502128867442545,-0.44138602838853325,0.16800162750080708,0.31774752797971323,0.018255727021900925,37,21,16,0.43243243243243246,0.18368377496064073,-0.11953393522757057,0.05256260298736017,0.23810581508784942,-0.13298060911312906,0.4156530089628683,-0.33469238928666134,-0.019682538420979848,0.14532080901454747,-0.18468588585650714,0.7563025210084033,0.3442622950819672,0.12327432671711187,0.05967328507472689,-0.006302521008403339,0.08817013735046525,-8.274356876246391e-05,0.007110682087366718,SHORT,16.0942,34.3013,-18.2071,0.123192,0.052563,0.087877
21,GE,Stock,1M,12/26/9,6,3,82,51,31,0.6219512195121951,0.3291387112211761,-0.1710833256849175,0.14003038019570171,0.4712792494551623,-0.19121848906375885,1.1075450831697025,-0.5124491771539206,0.1843226140560759,0.48235934111957335,-0.1137141130074216,36,12,24,0.6666666666666666,0.20988791588568856,-0.1473765331714144,-0.028288383485713418,0.18905961114547537,-0.2456363781169022,0.4622171077867279,-0.4204022840016535,-0.16473460188751704,-0.0011777256946997883,-0.3282914780803343,0.5462184873949579,0.47540983606557374,0.09050586184815738,0.03750604352413586,0.07573273211723719,0.1912568306010929,0.04952451834754433,0.06579442700984928,SHORT,42.1354,45.3853,-3.2499,0.14003,0.028288,0.084159
