rank,symbol,asset_type,timeframe,macd_params,long_hold_bars,short_hold_bars,long_total_events,long_rise_n,long_fall_n,long_win_rate,long_post_mean_rise,long_post_mean_fall,long_post_mean_total,long_plus1sd,long_minus1sd,long_post_max,long_post_min,long_pre_mean,long_pre_plus1sd,long_pre_minus1sd,short_total_events,short_rise_n,short_fall_n,short_win_rate,short_post_mean_rise,short_post_mean_fall,short_post_mean_total,short_plus1sd,short_minus1sd,short_post_max,short_post_min,short_pre_mean,short_pre_plus1sd,short_pre_minus1sd,base_long_rise_rate,base_short_fall_rate,base_long_mean,base_short_mean,long_edge,short_edge,long_mag_edge,short_mag_edge,active_signal,current_macd,current_signal,current_diff,long_expectancy,short_expectancy,combined_expectancy
1,NVDA,Stock,1M,12/26/9,6,3,90,71,19,0.7888888888888889,0.5175209825237654,-0.25599970683723994,0.354222170325331,0.8053182622732556,-0.09687392162259367,1.4947495961227788,-0.5551484060095273,0.4724294488370401,0.8090476928509542,0.13581120482312586,28,19,9,0.32142857142857145,0.3491120476009442,-0.14649324976545985,0.1898103448760286,0.48312331522422497,-0.10350262547216776,0.9014373716632446,-0.31878557874762803,-0.09723568375195853,0.22982034738705948,-0.4242917148909765,0.7899159663865546,0.2540983606557377,0.39361974119013327,0.17640911660909434,-0.0010270774976657293,0.06733021077283374,-0.03939757086480228,-0.013401228266934267,LONG,29.5147,29.1268,0.3878,0.354222,0.18981,0.272016
2,PLTR,Stock,1M,12/26/9,6,3,44,30,14,0.6818181818181818,0.788481475704098,-0.2752924680920536,0.45000794813259515,1.1782864063222718,-0.2782705100570816,2.0940959409594098,-0.598145285935085,0.6290389506275682,1.1971668711363537,0.06091103011878274,18,5,13,0.7222222222222222,0.7224018807832817,-0.17291310394541476,0.07578550292366759,0.5876560324853979,-0.4360850266380627,1.56,-0.42615012106537525,-0.2526657151946232,-0.049809640245504244,-0.45552179014374217,0.6190476190476191,0.4393939393939394,0.3950385652608544,0.19528937548197112,0.0627705627705627,0.2828282828282828,0.054969382871740746,0.11950387255830353,SHORT,28.9582,32.4107,-3.4526,0.450008,0.075786,0.262897
3,AMD,Stock,1M,12/26/9,6,3,82,56,26,0.6829268292682927,0.4792947604017815,-0.18647051101565745,0.2681984548303984,0.6979698374309187,-0.16157292777012194,1.4245614035087721,-0.46858929812369704,0.43375944610210865,0.9043476822229143,-0.03682879001869699,36,25,11,0.3055555555555556,0.3832781438339653,-0.19054680250456668,0.2079427435638583,0.585715781903459,-0.16983029477574238,1.1355140186915889,-0.36424261670371544,-0.07146827290692553,0.19885392376785,-0.34179046958170106,0.7058823529411765,0.36885245901639346,0.34038723241793256,0.1731937066242887,-0.022955523672883782,-0.06329690346083788,-0.07218877758753417,-0.0347490369395696,LONG,56.9858,28.8916,28.0942,0.268198,0.207943,0.238071
4,TSLA,Stock,1M,12/26/9,6,3,67,42,25,0.6268656716417911,0.6626584162898735,-0.15753473364551784,0.3566161961647275,1.1006522619471095,-0.3874198696176544,3.093902089894074,-0.3627718162720718,0.5089888212673978,1.1742071590377419,-0.15622951650294636,51,30,21,0.4117647058823529,0.2828064260508458,-0.18063702190878117,0.0919767710086465,0.4011199741186031,-0.21716643210131015,1.0662220104811815,-0.5356079170593779,-0.05994066367845836,0.18849538090967086,-0.3083767082665876,0.6134453781512605,0.4180327868852459,0.30988655494878253,0.13455140097707358,0.013420293490530533,-0.006268081002893,0.04672964121594497,0.04257462996842708,LONG,42.7987,42.4278,0.371,0.356616,0.091977,0.224296
5,MU,Stock,1M,12/26/9,6,3,63,39,24,0.6190476190476191,0.5446559253473809,-0.18906997771267053,0.2651412956102185,0.8586013966501138,-0.32831880542967684,3.1060554803788905,-0.40654857756307033,0.33749024812178424,0.6414658263687067,0.033514669874861736,55,41,14,0.2545454545454545,0.2003545926655637,-0.13690149793131962,0.11450758778635707,0.35117238893848907,-0.12215721336577494,1.0503023639362288,-0.298474463851426,-0.03908130216322225,0.15229170545379164,-0.23045430978023615,0.6974789915966386,0.3114754098360656,0.29165594532008593,0.13092574408660454,-0.07843137254901955,-0.05692995529061107,-0.026514649709867444,0.01641815630024747,LONG,132.7267,65.9524,66.7743,0.265141,0.114508,0.189824
6,ANET,Stock,1M,12/26/9,6,3,81,64,17,0.7901234567901234,0.349847228697566,-0.12819540819738853,0.24951729255911878,0.5060173913668391,-0.006982806248601564,0.8478027867095389,-0.3480801335559265,0.29975522918135045,0.49930358932126984,0.10020686904143106,37,21,16,0.43243243243243246,0.27085809598480337,-0.08928176885307045,0.11512193821707416,0.341857694218805,-0.11161381778465669,0.5760618651892891,-0.1958128078817733,-0.028280874356415,0.1579640610135134,-0.21452580972634339,0.773109243697479,0.32786885245901637,0.2255270817090165,0.10971955910711706,0.017014213092644392,0.10456357997341609,0.023990210850102278,-0.005402379109957098,LONG,21.4938,19.7068,1.7869,0.249517,0.115122,0.18232
7,LRCX,Stock,1M,12/26/9,6,3,80,56,24,0.7,0.37630296017809906,-0.14420269035121308,0.22015126501930543,0.5640421259886903,-0.12373959595007938,1.4616195698017713,-0.40739710789766415,0.25427830026581505,0.4771346359554558,0.0314219645761743,38,26,12,0.3157894736842105,0.17461821635916674,-0.14002369243647148,0.07525761358159674,0.25671029454569316,-0.10619506738249965,0.3755907129648654,-0.25655823714585513,-0.03571215114961871,0.15791067026354894,-0.22933497256278634,0.7142857142857143,0.28688524590163933,0.22988072154003517,0.1073401758650935,-0.014285714285714346,0.02890422778257118,-0.009729456520729735,0.03208256228349676,LONG,49.4012,30.7994,18.6018,0.220151,0.075258,0.147704
8,AVGO,Stock,1M,12/26/9,6,3,88,68,20,0.7727272727272727,0.2611577773185285,-0.09592992876012979,0.1800014804824698,0.4057538972922581,-0.04575093632731844,0.9704354058412472,-0.2949023344449738,0.22679814027235667,0.4046651410601486,0.048931139484564706,29,24,5,0.1724137931034483,0.14018777865813475,-0.09180385048122472,0.10018922190996933,0.22498475795610118,-0.02460631413616253,0.35958270233888606,-0.13129710432368116,-0.0146801319496705,0.13298071235694553,-0.16234097625628652,0.7966101694915254,0.24793388429752067,0.19463272965754497,0.09661006986942623,-0.023882896764252703,-0.07552009119407238,-0.014631249175075162,-0.0035791520405430988,LONG,66.8342,58.6218,8.2124,0.180001,0.100189,0.140095
9,KLAC,Stock,1M,12/26/9,6,3,87,65,22,0.7471264367816092,0.2537348446956779,-0.09022861631898947,0.16675557869196894,0.3880180494719861,-0.05450689208804821,0.7483371559633027,-0.2581432656762224,0.19276104043403625,0.3609804815744179,0.02454159929365457,31,20,11,0.3548387096774194,0.20347080822683838,-0.06870364880502118,0.10689277508650112,0.263809852297827,-0.05002430212482474,0.4349471233142526,-0.1749230849455077,0.00011435557701158783,0.16303756340251166,-0.16280885224848848,0.7899159663865546,0.319672131147541,0.18748291188255406,0.09239137666390657,-0.04278952960494542,0.03516657852987837,-0.020727333190585118,-0.014501398422594555,LONG,282.6441,196.8249,85.8192,0.166756,0.106893,0.136824
10,LLY,Stock,1M,12/26/9,6,3,84,63,21,0.75,0.19867936814453518,-0.0612245813011796,0.1337033807831065,0.2990101915276515,-0.03160342996143847,0.5531805393535992,-0.1563631660631142,0.17819556321127455,0.32460609159133047,0.03178503483121867,34,28,6,0.17647058823529413,0.18514534100909283,-0.08026112498270495,0.1383089058340697,0.3136778596986081,-0.037060048030468695,0.5941284684960907,-0.19873347598926827,-0.030046435831648375,0.09305796539562083,-0.15315083705891758,0.7647058823529411,0.3524590163934426,0.15466908677503657,0.0749169629163914,-0.014705882352941124,-0.1759884281581485,-0.020965705991930067,-0.06339194291767832,LONG,97.0229,92.0058,5.0172,0.133703,0.138309,0.136006
